Symbol,FrontendSignal,FinalRating,Confidence,CompositeScoreV2,TechnicalScore,MLScore,GRUScore,ReliabilityScore
INFY.NS,HOLD,HOLD,55.21,-10.425841634605607,-32.31,5.479999999999997,-1.27696692943573,70
ONGC.NS,HOLD,HOLD,63.14,-11.011256585062135,-36.04,-3.66,3.101274371147156,50
BEL.NS,HOLD,HOLD,82.08,-11.409821759483052,-41.38,5.080000000000002,-2.5494128465652466,50
NTPC.NS,HOLD,HOLD,72.02,-15.903206218758058,-46.3,11.66,-8.656886219978333,50
POWERGRID.NS,HOLD,HOLD,99.56,-16.165356244648862,-45.83,-6.030000000000001,-5.221697688102722,50
TRENT.NS,HOLD,HOLD,47.96,-19.37066312435413,-47.07,29.160000000000004,-18.331407010555267,60
BPCL.NS,HOLD,HOLD,53.27,-19.37656725685916,-49.23,-12.860000000000005,0.0,50
JIOFIN.NS,HOLD,HOLD,47.52,-20.129339729275834,-56.23,11.209999999999996,-4.314729571342468,50
MARUTI.NS,HOLD,HOLD,62.17,-21.33518673675054,-61.84,-0.4100000000000001,-3.330272436141968,50
BAJFINANCE.NS,SELL,SELL,81.15,-21.512650774936432,-53.95,-13.31,-11.21688187122345,50
BHARTIARTL.NS,SELL,SELL,77.01,-21.99689974491569,-57.35,-9.329999999999998,-5.54911196231842,50
HEROMOTOCO.NS,SELL,SELL,81.18,-23.17309330917175,-69.17,-1.9899999999999984,23.475797474384308,50
SBILIFE.NS,SELL,SELL,94.36,-24.89123562473233,-63.27,-4.73,-7.016450166702271,50
M&M.NS,SELL,SELL,63.87,-25.454189818965475,-65.92,-3.009999999999998,-8.758735656738281,50
RELIANCE.NS,SELL,SELL,90.01,-30.44156643211079,-72.78,-6.84,-5.975520610809326,50
HINDUNILVR.NS,SELL,SELL,53.8,-33.65738896201175,-72.21,-23.35,-18.812964856624603,50
HDFCBANK.NS,SELL,SELL,70.74,-33.71543854145577,-84.73,9.06,6.362828612327576,50
BAJAJFINSV.NS,SELL,SELL,81.15,-34.018173790488014,-81.64,-8.739999999999998,1.4920920133590698,50
BRITANNIA.NS,SELL,SELL,78.45,-35.654731754482164,-85.1,-1.6999999999999993,0.0,50
HCLTECH.NS,STRONG SELL,STRONG SELL,72.09,-36.99658555119275,-87.3,28.03,-10.115721821784971,60
ULTRACEMCO.NS,STRONG SELL,STRONG SELL,46.82,-37.04616901763798,-74.43,-28.020000000000003,-16.258803009986877,50
HDFCLIFE.NS,STRONG SELL,STRONG SELL,54.61,-41.40817041409348,-100.0,15.309999999999995,1.6888678073883057,50
ITC.NS,STRONG SELL,STRONG SELL,49.49,-42.57324565664635,-98.2,5.669999999999998,-5.625960230827332,50
TCS.NS,STRONG SELL,STRONG SELL,40.76,-44.34244261574744,-99.49,11.38,-1.5196174383163452,60
